Period,Number,Result,Timestamp
20260905100050561,3,SMALL,2026-09-05 04:40:35
20260905100050562,1,SMALL,2026-09-05 04:40:59
20260905100050563,9,BIG,2026-09-05 04:41:28
20260905100050564,9,BIG,2026-09-05 04:42:01
20260905100050565,5,BIG,2026-09-05 04:42:30
20260905100050566,1,SMALL,2026-09-05 04:42:59
20260905100050567,5,BIG,2026-09-05 04:43:28
20260905100050568,1,SMALL,2026-09-05 04:44:01
20260905100050569,4,SMALL,2026-09-05 04:44:30
20260905100050570,3,SMALL,2026-09-05 04:45:00
20260905100050571,8,BIG,2026-09-05 04:45:29
20260905100050572,3,SMALL,2026-09-05 04:45:58
20260905100050573,3,SMALL,2026-09-05 04:46:30
20260905100050574,0,SMALL,2026-09-05 04:46:59
20260905100050575,5,BIG,2026-09-05 04:47:28
20260905100050576,5,BIG,2026-09-05 04:48:01
20260905100050577,1,SMALL,2026-09-05 04:48:30
20260905100050578,0,SMALL,2026-09-05 04:48:58
20260905100050579,1,SMALL,2026-09-05 04:49:31
20260905100050580,4,SMALL,2026-09-05 04:50:00
20260905100050581,1,SMALL,2026-09-05 04:50:29
20260905100050582,2,SMALL,2026-09-05 04:50:58
20260905100050583,2,SMALL,2026-09-05 04:51:31
20260905100050584,8,BIG,2026-09-05 04:52:00
20260905100050585,9,BIG,2026-09-05 04:52:29
20260905100050586,1,SMALL,2026-09-05 04:52:58
20260905100050587,3,SMALL,2026-09-05 04:53:31
20260905100050588,5,BIG,2026-09-05 04:54:00
20260905100050589,1,SMALL,2026-09-05 04:54:29
20260905100050590,2,SMALL,2026-09-05 04:54:58
20260905100050591,8,BIG,2026-09-05 04:55:31
20260905100050592,4,SMALL,2026-09-05 04:56:00
20260905100050593,9,BIG,2026-09-05 04:56:29
20260905100050594,8,BIG,2026-09-05 04:56:58
20260905100050595,7,BIG,2026-09-05 04:57:32
20260905100050596,2,SMALL,2026-09-05 04:58:00
20260905100050597,4,SMALL,2026-09-05 04:58:30
20260905100050598,3,SMALL,2026-09-05 04:58:59
20260905100050599,9,BIG,2026-09-05 04:59:27
20260905100050600,7,BIG,2026-09-05 04:59:57
20260905100050601,9,BIG,2026-09-05 05:00:31
20260905100050602,6,BIG,2026-09-05 05:01:00
20260905100050603,0,SMALL,2026-09-05 05:01:28
20260905100050604,7,BIG,2026-09-05 05:02:01
20260905100050605,2,SMALL,2026-09-05 05:02:30
20260905100050606,0,SMALL,2026-09-05 05:02:59
20260905100050607,1,SMALL,2026-09-05 05:03:28
20260905100050608,4,SMALL,2026-09-05 05:04:02
20260905100050609,3,SMALL,2026-09-05 05:04:31
20260905100050610,8,BIG,2026-09-05 05:04:59
20260905100050611,7,BIG,2026-09-05 05:05:28
20260905100050612,3,SMALL,2026-09-05 05:05:57
20260905100050613,1,SMALL,2026-09-05 05:06:31
20260905100050614,2,SMALL,2026-09-05 05:07:00
20260905100050615,1,SMALL,2026-09-05 05:07:29
20260905100050616,8,BIG,2026-09-05 05:07:57
20260905100050617,6,BIG,2026-09-05 05:08:31
20260905100050618,5,BIG,2026-09-05 05:08:59
20260905100050619,0,SMALL,2026-09-05 05:09:28
20260905100050620,3,SMALL,2026-09-05 05:10:02
20260905100050621,8,BIG,2026-09-05 05:10:30
20260905100050622,7,BIG,2026-09-05 05:10:59
20260905100050623,4,SMALL,2026-09-05 05:11:28
20260905100050624,5,BIG,2026-09-05 05:12:02
20260905100050625,0,SMALL,2026-09-05 05:12:30
20260905100050626,0,SMALL,2026-09-05 05:12:59
20260905100050627,2,SMALL,2026-09-05 05:13:29
20260905100050628,6,BIG,2026-09-05 05:13:58
20260905100050629,5,BIG,2026-09-05 05:14:31
20260905100050630,5,BIG,2026-09-05 05:15:00
20260905100050631,2,SMALL,2026-09-05 05:15:29
20260905100050632,0,SMALL,2026-09-05 05:15:59
20260905100050633,4,SMALL,2026-09-05 05:16:27
20260905100050634,4,SMALL,2026-09-05 05:17:01
20260905100050635,6,BIG,2026-09-05 05:17:30
20260905100050636,9,BIG,2026-09-05 05:17:59
20260905100050637,2,SMALL,2026-09-05 05:18:32
20260905100050638,4,SMALL,2026-09-05 05:19:00
20260905100050639,1,SMALL,2026-09-05 05:19:29
20260905100050640,8,BIG,2026-09-05 05:19:58
20260905100050641,4,SMALL,2026-09-05 05:20:31
20260905100050642,8,BIG,2026-09-05 05:21:00
20260905100050643,1,SMALL,2026-09-05 05:21:29
20260905100050644,1,SMALL,2026-09-05 05:21:58
20260905100050645,6,BIG,2026-09-05 05:22:31
20260905100050646,5,BIG,2026-09-05 05:23:00
20260905100050647,5,BIG,2026-09-05 05:23:29
20260905100050648,6,BIG,2026-09-05 05:23:58
20260905100050649,1,SMALL,2026-09-05 05:24:28
20260905100050650,7,BIG,2026-09-05 05:25:02
20260905100050651,6,BIG,2026-09-05 05:25:30
20260905100050652,0,SMALL,2026-09-05 05:25:59
20260905100050653,0,SMALL,2026-09-05 05:26:28
20260905100050654,1,SMALL,2026-09-05 05:26:57
20260905100050655,3,SMALL,2026-09-05 05:27:31
20260905100050656,0,SMALL,2026-09-05 05:28:00
20260905100050657,6,BIG,2026-09-05 05:28:29
20260905100050658,4,SMALL,2026-09-05 05:28:58
20260905100050659,8,BIG,2026-09-05 05:29:31
20260905100050660,9,BIG,2026-09-05 05:30:00
20260905100050661,9,BIG,2026-09-05 05:30:29
20260905100050662,4,SMALL,2026-09-05 05:30:58
20260905100050663,4,SMALL,2026-09-05 05:31:31
20260905100050664,0,SMALL,2026-09-05 05:32:04
20260905100050665,8,BIG,2026-09-05 05:32:29
20260905100050666,3,SMALL,2026-09-05 05:33:02
20260905100050667,2,SMALL,2026-09-05 05:33:30
20260905100050668,6,BIG,2026-09-05 05:33:59
20260905100050669,9,BIG,2026-09-05 05:34:27
20260905100050670,3,SMALL,2026-09-05 05:35:01
20260905100050671,5,BIG,2026-09-05 05:35:29
20260905100050672,3,SMALL,2026-09-05 05:35:58
20260905100050673,5,BIG,2026-09-05 05:36:27
20260905100050674,4,SMALL,2026-09-05 05:37:01
20260905100050675,4,SMALL,2026-09-05 05:37:30
20260905100050676,4,SMALL,2026-09-05 05:38:03
20260905100050677,5,BIG,2026-09-05 05:38:27
20260905100050678,7,BIG,2026-09-05 05:39:01
20260905100050679,2,SMALL,2026-09-05 05:39:30
20260905100050680,2,SMALL,2026-09-05 05:39:58
20260905100050681,9,BIG,2026-09-05 05:40:32
20260905100050682,8,BIG,2026-09-05 05:41:01
20260905100050683,3,SMALL,2026-09-05 05:41:30
20260905100050684,8,BIG,2026-09-05 05:41:59
20260905100050685,6,BIG,2026-09-05 05:42:32
20260905100050686,6,BIG,2026-09-05 05:43:00
20260905100050687,0,SMALL,2026-09-05 05:43:29
20260905100050688,0,SMALL,2026-09-05 05:43:58
20260905100050689,8,BIG,2026-09-05 05:44:27
20260905100050690,0,SMALL,2026-09-05 05:45:01
20260905100050691,0,SMALL,2026-09-05 05:45:30
20260905100050692,5,BIG,2026-09-05 05:45:59
20260905100050693,7,BIG,2026-09-05 05:46:31
20260905100050694,8,BIG,2026-09-05 05:47:00
20260905100050695,4,SMALL,2026-09-05 05:47:29
20260905100050696,1,SMALL,2026-09-05 05:47:58
20260905100050697,9,BIG,2026-09-05 05:48:31
20260905100050698,5,BIG,2026-09-05 05:49:00
20260905100050699,4,SMALL,2026-09-05 05:49:29
20260905100050700,2,SMALL,2026-09-05 05:49:58
20260905100050701,6,BIG,2026-09-05 05:50:27
20260905100050702,6,BIG,2026-09-05 05:51:01
20260905100050703,5,BIG,2026-09-05 05:51:30
20260905100050704,8,BIG,2026-09-05 05:51:59
20260905100050705,3,SMALL,2026-09-05 05:52:27
20260905100050706,1,SMALL,2026-09-05 05:53:01
20260905100050707,0,SMALL,2026-09-05 05:53:30
20260905100050708,0,SMALL,2026-09-05 05:53:59
20260905100050709,2,SMALL,2026-09-05 05:54:28
20260905100050710,4,SMALL,2026-09-05 05:55:01
20260905100050711,9,BIG,2026-09-05 05:55:30
20260905100050712,0,SMALL,2026-09-05 05:55:59
20260905100050713,3,SMALL,2026-09-05 05:56:28
20260905100050714,2,SMALL,2026-09-05 05:56:57
20260905100050715,2,SMALL,2026-09-05 05:57:30
20260905100050716,9,BIG,2026-09-05 05:57:59
20260905100050717,1,SMALL,2026-09-05 05:58:28
20260905100050718,4,SMALL,2026-09-05 05:58:57
20260905100050719,2,SMALL,2026-09-05 05:59:31
20260905100050720,2,SMALL,2026-09-05 05:59:59
20260905100050721,0,SMALL,2026-09-05 06:00:28
20260905100050722,7,BIG,2026-09-05 06:01:02
20260905100050723,5,BIG,2026-09-05 06:01:30
20260905100050724,8,BIG,2026-09-05 06:01:59
20260905100050725,0,SMALL,2026-09-05 06:02:28
20260905100050726,5,BIG,2026-09-05 06:03:02
20260905100050727,3,SMALL,2026-09-05 06:03:27
20260905100050728,5,BIG,2026-09-05 06:04:01
20260905100050729,8,BIG,2026-09-05 06:04:31
20260905100050730,6,BIG,2026-09-05 06:04:59
20260905100050731,7,BIG,2026-09-05 06:05:28
20260905100050732,1,SMALL,2026-09-05 06:05:58
20260905100050733,6,BIG,2026-09-05 06:06:27
20260905100050734,2,SMALL,2026-09-05 06:06:57
20260905100050735,0,SMALL,2026-09-05 06:07:30
20260905100050736,6,BIG,2026-09-05 06:07:59
20260905100050737,2,SMALL,2026-09-05 06:08:28
20260905100050738,7,BIG,2026-09-05 06:08:57
20260905100050739,8,BIG,2026-09-05 06:09:31
20260905100050740,5,BIG,2026-09-05 06:10:00
20260905100050741,6,BIG,2026-09-05 06:10:29
20260905100050742,8,BIG,2026-09-05 06:10:58
20260905100050743,3,SMALL,2026-09-05 06:11:31
20260905100050744,7,BIG,2026-09-05 06:12:01
20260905100050745,8,BIG,2026-09-05 06:12:29
20260905100050746,5,BIG,2026-09-05 06:12:59
20260905100050747,4,SMALL,2026-09-05 06:13:27
20260905100050748,4,SMALL,2026-09-05 06:14:01
20260905100050749,5,BIG,2026-09-05 06:14:30
20260905100050750,5,BIG,2026-09-05 06:14:59
20260905100050751,7,BIG,2026-09-05 06:15:28
20260905100050752,8,BIG,2026-09-05 06:15:57
20260905100050753,6,BIG,2026-09-05 06:16:31
20260905100050754,1,SMALL,2026-09-05 06:17:00
20260905100050755,3,SMALL,2026-09-05 06:17:29
20260905100050756,5,BIG,2026-09-05 06:17:59
20260905100050757,5,BIG,2026-09-05 06:18:28
20260905100050758,9,BIG,2026-09-05 06:18:57
20260905100050759,1,SMALL,2026-09-05 06:19:31
20260905100050760,8,BIG,2026-09-05 06:20:00
20260905100050761,2,SMALL,2026-09-05 06:20:29
20260905100050762,9,BIG,2026-09-05 06:20:58
20260905100050763,5,BIG,2026-09-05 06:21:31
20260905100050764,6,BIG,2026-09-05 06:22:01
20260905100050765,2,SMALL,2026-09-05 06:22:30
20260905100050766,8,BIG,2026-09-05 06:22:59
20260905100050767,6,BIG,2026-09-05 06:23:28
20260905100050768,3,SMALL,2026-09-05 06:24:02
20260905100050769,6,BIG,2026-09-05 06:24:31
20260905100050770,0,SMALL,2026-09-05 06:25:00
20260905100050771,4,SMALL,2026-09-05 06:25:29
20260905100050772,6,BIG,2026-09-05 06:25:57
20260905100050773,8,BIG,2026-09-05 06:26:31
20260905100050774,8,BIG,2026-09-05 06:27:00
20260905100050775,7,BIG,2026-09-05 06:27:29
20260905100050776,8,BIG,2026-09-05 06:27:58
20260905100050777,9,BIG,2026-09-05 06:28:27
20260905100050778,5,BIG,2026-09-05 06:29:01
20260905100050779,4,SMALL,2026-09-05 06:29:30
20260905100050780,5,BIG,2026-09-05 06:29:59
20260905100050781,1,SMALL,2026-09-05 06:30:28
20260905100050782,6,BIG,2026-09-05 06:31:02
20260905100050783,5,BIG,2026-09-05 06:31:30
20260905100050784,1,SMALL,2026-09-05 06:31:59
20260905100050785,1,SMALL,2026-09-05 06:32:28
20260905100050786,5,BIG,2026-09-05 06:32:57
20260905100050787,3,SMALL,2026-09-05 06:33:31
20260905100050788,8,BIG,2026-09-05 06:34:00
20260905100050789,3,SMALL,2026-09-05 06:34:29
20260905100050790,5,BIG,2026-09-05 06:35:01
20260905100050791,0,SMALL,2026-09-05 06:35:30
20260905100050792,0,SMALL,2026-09-05 06:35:59
20260905100050793,7,BIG,2026-09-05 06:36:27
20260905100050794,3,SMALL,2026-09-05 06:37:01
20260905100050795,5,BIG,2026-09-05 06:37:29
20260905100050796,4,SMALL,2026-09-05 06:37:58
20260905100050797,4,SMALL,2026-09-05 06:38:31
20260905100050798,9,BIG,2026-09-05 06:39:00
20260905100050799,4,SMALL,2026-09-05 06:39:28
20260905100050800,7,BIG,2026-09-05 06:39:57
20260905100050801,0,SMALL,2026-09-05 06:40:31
20260905100050802,4,SMALL,2026-09-05 06:41:00
20260905100050803,9,BIG,2026-09-05 06:41:29
20260905100050804,3,SMALL,2026-09-05 06:41:58
20260905100050805,1,SMALL,2026-09-05 06:42:31
20260905100050806,6,BIG,2026-09-05 06:43:00
20260905100050807,1,SMALL,2026-09-05 06:43:28
20260905100050808,9,BIG,2026-09-05 06:43:57
20260905100050809,6,BIG,2026-09-05 06:44:31
20260905100050810,2,SMALL,2026-09-05 06:44:59
20260905100050811,2,SMALL,2026-09-05 06:45:28
20260905100050812,9,BIG,2026-09-05 06:46:02
20260905100050813,0,SMALL,2026-09-05 06:46:30
20260905100050814,5,BIG,2026-09-05 06:46:59
20260905100050815,6,BIG,2026-09-05 06:47:28
20260905100050816,9,BIG,2026-09-05 06:48:01
20260905100050817,5,BIG,2026-09-05 06:48:30
20260905100050818,8,BIG,2026-09-05 06:48:59
20260905100050819,2,SMALL,2026-09-05 06:49:28
20260905100050820,7,BIG,2026-09-05 06:49:57
20260905100050821,4,SMALL,2026-09-05 06:50:31
20260905100050822,1,SMALL,2026-09-05 06:51:00
20260905100050823,8,BIG,2026-09-05 06:51:29
20260905100050824,0,SMALL,2026-09-05 06:51:58
20260905100050825,5,BIG,2026-09-05 06:52:31
20260905100050826,4,SMALL,2026-09-05 06:53:00
20260905100050827,7,BIG,2026-09-05 06:53:28
20260905100050828,0,SMALL,2026-09-05 06:53:57
20260905100050829,4,SMALL,2026-09-05 06:54:31
20260905100050830,0,SMALL,2026-09-05 06:55:00
20260905100050831,6,BIG,2026-09-05 06:55:33
20260905100050832,8,BIG,2026-09-05 06:56:01
20260905100050833,4,SMALL,2026-09-05 06:56:30
20260905100050834,7,BIG,2026-09-05 06:56:59
20260905100050835,6,BIG,2026-09-05 06:57:28
20260905100050836,9,BIG,2026-09-05 06:57:57
20260905100050837,2,SMALL,2026-09-05 06:58:31
20260905100050838,9,BIG,2026-09-05 06:58:59
20260905100050839,5,BIG,2026-09-05 06:59:28
20260905100050840,4,SMALL,2026-09-05 06:59:57
20260905100050841,4,SMALL,2026-09-05 07:00:31
20260905100050842,6,BIG,2026-09-05 07:00:59
20260905100050843,0,SMALL,2026-09-05 07:01:27
20260905100050844,4,SMALL,2026-09-05 07:02:01
20260905100050845,6,BIG,2026-09-05 07:02:30
20260905100050846,4,SMALL,2026-09-05 07:02:59
20260905100050847,7,BIG,2026-09-05 07:03:28
20260905100050848,4,SMALL,2026-09-05 07:04:01
20260905100050849,3,SMALL,2026-09-05 07:04:30
20260905100050850,0,SMALL,2026-09-05 07:04:59
20260905100050851,9,BIG,2026-09-05 07:05:28
20260905100050852,2,SMALL,2026-09-05 07:06:01
20260905100050853,0,SMALL,2026-09-05 07:06:30
20260905100050854,6,BIG,2026-09-05 07:06:59
20260905100050855,0,SMALL,2026-09-05 07:07:28
20260905100050856,0,SMALL,2026-09-05 07:08:01
20260905100050857,1,SMALL,2026-09-05 07:08:30
20260905100050858,6,BIG,2026-09-05 07:08:59
20260905100050859,2,SMALL,2026-09-05 07:09:28
20260905100050860,5,BIG,2026-09-05 07:10:01
20260905100050861,1,SMALL,2026-09-05 07:10:30
20260905100050862,2,SMALL,2026-09-05 07:10:58
20260905100050863,1,SMALL,2026-09-05 07:11:27
20260905100050864,3,SMALL,2026-09-05 07:12:02
20260905100050865,8,BIG,2026-09-05 07:12:31
20260905100050866,7,BIG,2026-09-05 07:13:04
20260905100050867,9,BIG,2026-09-05 07:13:27
20260905100050868,9,BIG,2026-09-05 07:14:01
20260905100050869,2,SMALL,2026-09-05 07:14:30
20260905100050870,3,SMALL,2026-09-05 07:14:59
20260905100050871,1,SMALL,2026-09-05 07:15:28
20260905100050872,5,BIG,2026-09-05 07:16:01
20260905100050873,5,BIG,2026-09-05 07:16:30
20260905100050874,2,SMALL,2026-09-05 07:16:59
20260905100050875,4,SMALL,2026-09-05 07:17:28
20260905100050876,3,SMALL,2026-09-05 07:17:57
20260905100050877,9,BIG,2026-09-05 07:18:32
20260905100050878,1,SMALL,2026-09-05 07:19:00
20260905100050879,3,SMALL,2026-09-05 07:19:29
20260905100050880,0,SMALL,2026-09-05 07:19:58
20260905100050881,2,SMALL,2026-09-05 07:20:31
20260905100050882,4,SMALL,2026-09-05 07:21:00
20260905100050883,3,SMALL,2026-09-05 07:21:29
20260905100050884,1,SMALL,2026-09-05 07:21:58
20260905100050885,5,BIG,2026-09-05 07:22:31
20260905100050886,9,BIG,2026-09-05 07:23:01
20260905100050887,4,SMALL,2026-09-05 07:23:30
20260905100050888,8,BIG,2026-09-05 07:23:59
20260905100050889,4,SMALL,2026-09-05 07:24:28
20260905100050890,5,BIG,2026-09-05 07:24:57
20260905100050891,8,BIG,2026-09-05 07:25:31
20260905100050892,3,SMALL,2026-09-05 07:26:00
20260905100050893,2,SMALL,2026-09-05 07:26:29
20260905100050894,6,BIG,2026-09-05 07:27:02
20260905100050895,2,SMALL,2026-09-05 07:27:30
20260905100050896,4,SMALL,2026-09-05 07:27:59
20260905100050897,9,BIG,2026-09-05 07:28:27
20260905100050898,1,SMALL,2026-09-05 07:29:05
20260905100050899,4,SMALL,2026-09-05 07:29:28
20260905100050900,8,BIG,2026-09-05 07:29:57
20260905100050901,7,BIG,2026-09-05 07:30:29
20260905100050902,0,SMALL,2026-09-05 07:30:58
20260905100050903,4,SMALL,2026-09-05 07:31:27
20260905100050904,8,BIG,2026-09-05 07:32:01
20260905100050905,9,BIG,2026-09-05 07:32:30
20260905100050906,9,BIG,2026-09-05 07:32:59
20260905100050907,2,SMALL,2026-09-05 07:33:28
20260905100050908,4,SMALL,2026-09-05 07:34:01
20260905100050909,8,BIG,2026-09-05 07:34:30
20260905100050910,0,SMALL,2026-09-05 07:34:59
20260905100050911,1,SMALL,2026-09-05 07:35:28
20260905100050912,7,BIG,2026-09-05 07:36:01
20260905100050913,7,BIG,2026-09-05 07:36:30
20260905100050914,5,BIG,2026-09-05 07:36:59
20260905100050915,0,SMALL,2026-09-05 07:37:28
20260905100050916,8,BIG,2026-09-05 07:37:57
20260905100050917,1,SMALL,2026-09-05 07:38:31
20260905100050918,5,BIG,2026-09-05 07:39:00
20260905100050919,6,BIG,2026-09-05 07:39:30
20260905100050920,2,SMALL,2026-09-05 07:39:58
20260905100050921,6,BIG,2026-09-05 07:40:31
20260905100050922,6,BIG,2026-09-05 07:41:00
20260905100050923,5,BIG,2026-09-05 07:41:29
20260905100050924,4,SMALL,2026-09-05 07:41:57
20260905100050925,9,BIG,2026-09-05 07:42:28
20260905100050926,1,SMALL,2026-09-05 07:42:59
20260905100050927,1,SMALL,2026-09-05 07:43:28
20260905100050928,4,SMALL,2026-09-05 07:43:57
20260905100050929,2,SMALL,2026-09-05 07:44:30
20260905100050930,2,SMALL,2026-09-05 07:44:59
20260905100050931,4,SMALL,2026-09-05 07:45:28
20260905100050932,5,BIG,2026-09-05 07:45:57
20260905100050933,4,SMALL,2026-09-05 07:46:30
20260905100050934,4,SMALL,2026-09-05 07:46:59
20260905100050935,3,SMALL,2026-09-05 07:47:28
20260905100050936,9,BIG,2026-09-05 07:48:01
20260905100050937,3,SMALL,2026-09-05 07:48:30
20260905100050938,4,SMALL,2026-09-05 07:48:59
20260905100050939,5,BIG,2026-09-05 07:49:28
20260905100050940,0,SMALL,2026-09-05 07:50:01
20260905100050941,2,SMALL,2026-09-05 07:50:30
20260905100050942,8,BIG,2026-09-05 07:50:59
20260905100050943,3,SMALL,2026-09-05 07:51:28
20260905100050944,7,BIG,2026-09-05 07:52:01
20260905100050945,8,BIG,2026-09-05 07:52:30
20260905100050946,9,BIG,2026-09-05 07:52:59
20260905100050947,9,BIG,2026-09-05 07:53:28
20260905100050948,3,SMALL,2026-09-05 07:53:57
20260905100050949,1,SMALL,2026-09-05 07:54:30
20260905100050950,2,SMALL,2026-09-05 07:54:59
20260905100050951,0,SMALL,2026-09-05 07:55:28
20260905100050952,1,SMALL,2026-09-05 07:55:57
20260905100050953,3,SMALL,2026-09-05 07:56:31
20260905100050954,3,SMALL,2026-09-05 07:57:00
20260905100050955,1,SMALL,2026-09-05 07:57:28
20260905100050956,2,SMALL,2026-09-05 07:58:01
20260905100050957,5,BIG,2026-09-05 07:58:30
20260905100050958,5,BIG,2026-09-05 07:58:59
20260905100050959,5,BIG,2026-09-05 07:59:32
20260905100050960,8,BIG,2026-09-05 08:00:00
20260905100050961,2,SMALL,2026-09-05 08:00:29
20260905100050962,8,BIG,2026-09-05 08:00:59
20260905100050963,4,SMALL,2026-09-05 08:01:28
20260905100050964,5,BIG,2026-09-05 08:02:01
20260905100050965,1,SMALL,2026-09-05 08:02:30
20260905100050966,4,SMALL,2026-09-05 08:02:59
20260905100050967,3,SMALL,2026-09-05 08:03:28
20260905100050968,9,BIG,2026-09-05 08:04:01
20260905100050969,5,BIG,2026-09-05 08:04:30
20260905100050970,0,SMALL,2026-09-05 08:04:59
20260905100050971,7,BIG,2026-09-05 08:05:28
20260905100050972,7,BIG,2026-09-05 08:05:57
20260905100050973,8,BIG,2026-09-05 08:06:31
20260905100050974,1,SMALL,2026-09-05 08:07:00
20260905100050975,8,BIG,2026-09-05 08:07:29
20260905100050976,5,BIG,2026-09-05 08:07:58
20260905100050977,6,BIG,2026-09-05 08:08:31
20260905100050978,5,BIG,2026-09-05 08:09:00
20260905100050979,9,BIG,2026-09-05 08:09:29
20260905100050980,3,SMALL,2026-09-05 08:09:58
20260905100050981,3,SMALL,2026-09-05 08:10:27
20260905100050982,3,SMALL,2026-09-05 08:11:01
20260905100050983,4,SMALL,2026-09-05 08:11:30
20260905100050984,3,SMALL,2026-09-05 08:11:59
20260905100050985,2,SMALL,2026-09-05 08:12:28
20260905100050986,7,BIG,2026-09-05 08:13:02
20260905100050987,8,BIG,2026-09-05 08:13:31
20260905100050988,9,BIG,2026-09-05 08:13:59
20260905100050989,2,SMALL,2026-09-05 08:14:29
20260905100050990,4,SMALL,2026-09-05 08:14:58
20260905100050991,2,SMALL,2026-09-05 08:15:27
20260905100050992,6,BIG,2026-09-05 08:16:00
20260905100050993,8,BIG,2026-09-05 08:16:29
20260905100050994,9,BIG,2026-09-05 08:16:58
20260905100050995,7,BIG,2026-09-05 08:17:27
20260905100050996,2,SMALL,2026-09-05 08:18:01
20260905100050997,9,BIG,2026-09-05 08:18:29
20260905100050998,2,SMALL,2026-09-05 08:18:58
20260905100050999,5,BIG,2026-09-05 08:19:31
20260905100051000,2,SMALL,2026-09-05 08:20:00
